iter	TotalF1	MultiClass
0	0.3407450196	1.864586474
1	0.3805916811	1.795745455
2	0.4492147702	1.724935999
3	0.4632234509	1.682237296
4	0.4614132537	1.640571299
5	0.4694078534	1.613850701
6	0.5043942702	1.577078061
7	0.5031840964	1.550057135
8	0.521248141	1.52432262
9	0.5367391719	1.502022049
10	0.5349927772	1.479003711
11	0.5433176805	1.460904836
12	0.5459929392	1.441464087
13	0.5577269795	1.42022809
14	0.5610590724	1.410465334
15	0.56601023	1.393186887
16	0.5696449551	1.376918638
17	0.5735273621	1.364908435
18	0.5771171428	1.349843129
19	0.5797872863	1.340069132
20	0.5918092571	1.325480857
21	0.5902276544	1.312132246
22	0.5938611333	1.302241296
23	0.5946146956	1.289758158
24	0.604110606	1.276430751
25	0.610625324	1.264479759
26	0.6128440983	1.253162072
27	0.6194335121	1.24267544
28	0.6226603992	1.235301046
29	0.6220020273	1.228500212
30	0.6263466698	1.222914435
31	0.6277159052	1.215844252
32	0.6287955273	1.211110824
33	0.6326388806	1.201844281
34	0.6338100938	1.193371053
35	0.6360850262	1.188755307
36	0.6365076387	1.181252534
37	0.6393633453	1.173387395
38	0.6434590907	1.165996601
39	0.6435335394	1.159126935
40	0.6453558014	1.152718822
41	0.6454209111	1.148855738
42	0.6474617782	1.144426967
43	0.6532422623	1.136554022
44	0.6551161097	1.130680868
45	0.6576877138	1.126486889
46	0.6599809136	1.121949147
47	0.6618242434	1.115511286
48	0.6617837556	1.111600859
49	0.6657167323	1.106986526
50	0.6672313035	1.102925991
51	0.6693930761	1.098073063
52	0.6692560269	1.094569582
53	0.6699141948	1.090270882
54	0.6715909496	1.086310244
55	0.6736545229	1.080056474
56	0.6757786245	1.075617679
57	0.6764353059	1.072795566
58	0.6769519125	1.069380272
59	0.6788327416	1.06329484
60	0.679052302	1.059987302
61	0.6820235907	1.056780815
62	0.6830263482	1.053124506
63	0.6845960502	1.050116353
64	0.6865211531	1.046380723
65	0.6862717157	1.041867959
66	0.6882131208	1.039288188
67	0.6884529908	1.036867837
68	0.6884604995	1.033415315
69	0.6900410323	1.030203949
